student_id,surname,firstname,emailaddress
E14105204,Cao,Lei-Bo,e14105204@ncku.edu.tw
E14108589,Deng,Zhi-Lei,e14108589@ncku.edu.tw
E14107770,Jiang,Rong-Qiu,e14107770@ncku.edu.tw
E14107651,Liang,Guo-Yan,e14107651@ncku.edu.tw
E14103656,Zhou,Zhong-Zhen,e14103656@ncku.edu.tw
E14100930,Tang,Lei-Ying,e14100930@ncku.edu.tw
E14102266,Lin,Ming-Yan,e14102266@ncku.edu.tw
E14103783,Zhou,Feng-Zhen,e14103783@ncku.edu.tw
E14108386,Deng,Dan-Qiang,e14108386@ncku.edu.tw
E14109266,Lin,Ning-Wei,e14109266@ncku.edu.tw
E14108113,Zhou,Shan-Zhi,e14108113@ncku.edu.tw
E14103826,Cao,Hao-Hao,e14103826@ncku.edu.tw
E14101523,Shi,Hua-Zhong,e14101523@ncku.edu.tw
E14105739,Guo,Xia-Chao,e14105739@ncku.edu.tw
E14104541,Qian,Wen-Zhong,e14104541@ncku.edu.tw
